date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-03,morning,2026-09-03T14:06:56Z,TER,,watchlist,347.0,330.12,23.59,328.33,338.34,335.58,326.83,-3.89,invalidated,0.0635862653666808,,,38.36,4.35%,5.34%,0.42,-32.71%,328.33,-12.66%,-12.22%,22.96
2026-09-03,morning,2026-09-03T14:06:56Z,TGTX,Biotechnology,leaders,57.87,54.7,2.56,57.68,57.4,58.36,56.84,1.37,failed_breakout,0.32812499999999856,,,64.21,4.70%,4.43%,0.58,-2.73%,57.68,9.64%,7.68%,2.49
2026-09-03,morning,2026-09-03T14:06:56Z,TMO,Diagnostics & Research,leaders,614.6,600.7,15.93,607.29,614.03,622.91,604.92,-0.2,failed_breakout,0.14877589453860668,,,55.30,2.24%,2.44%,1.00,-6.14%,607.29,-0.51%,6.85%,16.07
2026-09-03,morning,2026-09-03T14:06:56Z,TRGP,Oil & Gas Midstream,rs_new_high,296.37,291.08,8.19,292.63,293.97,293.76,291.21,-0.28,setting_up,0.17338217338217535,,,56.95,2.22%,2.73%,0.48,-4.97%,292.63,2.64%,5.49%,7.79
2026-09-03,morning,2026-09-03T14:06:56Z,TS,Oil & Gas Equipment & Services,emerging,56.16,54.93,1.33,56.34,56.55,56.56,56.0,0.64,gapped_through,0.25563909774436344,,,57.38,2.05%,2.20%,0.58,-12.78%,56.34,4.34%,1.97%,1.28
2026-09-03,morning,2026-09-03T14:06:56Z,TSEM,,watchlist,209.26,199.34,16.11,203.14,204.82,206.69,200.63,-1.78,setting_up,0.15580384854127816,,,40.70,5.12%,6.24%,0.64,-36.51%,203.14,-11.63%,-12.29%,15.40
2026-09-03,morning,2026-09-03T14:06:56Z,TXG,Health Information Services,leaders,63.49,59.41,3.64,60.63,62.24,63.0,60.44,-1.65,setting_up,0.052197802197803525,,,57.38,5.82%,6.90%,0.59,-9.43%,60.63,0.24%,20.58%,3.56
2026-09-03,morning,2026-09-03T14:06:56Z,UBS,Banks - Diversified,leaders,55.22,54.32,0.92,55.47,55.03,55.51,54.85,1.05,triggered,0.6739130434782581,,,62.19,1.69%,1.31%,1.20,-0.91%,55.47,2.67%,5.06%,0.90
2026-09-03,morning,2026-09-03T14:06:56Z,VG,Oil & Gas Midstream,rs_new_high,14.97,14.27,0.7,14.72,14.68,14.85,14.52,-0.07,setting_up,0.28571428571428725,,,57.20,4.36%,4.52%,0.47,-16.46%,14.72,4.08%,10.87%,0.67
2026-09-03,morning,2026-09-03T14:06:56Z,VNOM,Oil & Gas Midstream,rs_new_high,45.41,44.85,0.98,45.02,45.18,45.3,44.87,-0.22,setting_up,0.15306122448980172,,,57.73,1.84%,2.07%,0.28,-10.79%,45.02,3.06%,4.48%,0.94
2026-09-03,morning,2026-09-03T14:06:56Z,VOYA,Financial Conglomerates,accel,103.72,101.4,2.16,104.61,103.11,105.64,103.39,2.17,triggered,0.5648148148148142,,,65.95,1.87%,2.27%,0.41,0.73%,104.61,4.09%,6.12%,2.23
2026-09-03,morning,2026-09-03T14:06:56Z,WAT,Diagnostics & Research,leaders,416.58,404.51,12.44,406.8,414.98,418.55,407.17,-1.31,failed_breakout,-0.029742765273312263,,,52.10,3.01%,2.86%,0.28,-4.56%,406.80,-1.15%,4.06%,12.36
2026-09-03,morning,2026-09-03T14:06:56Z,WELL,REIT - Healthcare Facilities,rs_new_high,240.98,236.65,4.79,239.96,239.11,240.8,238.34,0.57,setting_up,0.3382045929018799,,,54.93,1.78%,1.88%,0.20,-5.97%,239.96,1.32%,1.32%,4.63
2026-09-03,morning,2026-09-03T14:06:56Z,WES,Oil & Gas Midstream,rs_new_high,49.1,48.12,0.96,49.43,49.17,49.4,48.9,0.95,gapped_through,0.5520833333333346,,,61.61,1.83%,1.89%,0.62,-1.29%,49.43,2.06%,5.72%,0.92
2026-09-03,morning,2026-09-03T14:06:56Z,WFC,Banks - Diversified,leaders,90.09,87.58,1.82,89.59,89.72,90.34,89.33,0.36,failed_breakout,0.14285714285714565,,,62.67,2.04%,1.89%,0.68,-8.36%,89.59,3.26%,3.51%,1.76
2026-09-03,morning,2026-09-03T14:06:56Z,WMB,Oil & Gas Midstream,rs_new_high,75.3,73.63,2.08,74.7,75.23,75.43,74.32,-0.61,failed_breakout,0.18269230769231234,,,55.30,2.41%,2.73%,0.59,-6.71%,74.70,1.98%,1.70%,2.01
2026-09-03,morning,2026-09-03T14:06:56Z,YPF,Oil & Gas Integrated,all_green,54.14,52.03,1.74,54.83,53.85,55.13,54.28,1.71,triggered,0.3160919540229869,,,65.99,2.71%,3.40%,1.04,-4.63%,54.83,7.70%,10.31%,1.70
2026-09-03,morning,2026-09-03T14:06:56Z,ZM,Software - Application,emerging,97.21,95.07,3.85,98.46,97.59,99.12,97.28,2.71,gapped_through,0.30649350649350454,,,48.65,3.54%,3.52%,0.56,-14.19%,98.46,-4.15%,3.09%,3.81
