date,session,collected_at,ticker,group,list_category,trigger,stop,atr,price,open,high,low,change,status,atr_from_lod,reclaim_ref,reclaim_ref_value,RSI,Volatility W,Volatility M,Rel Volume,52W High,Price,SMA20,SMA50,ATR
2026-09-24,pre_close,2026-09-24T19:33:13Z,ONTO,Semiconductor Equipment & Materials,emerging,286.0,273.06,16.58,278.8,274.18,279.8,275.86,-1.24,setting_up,0.17732207478890216,,,51.62,4.07%,4.54%,0.26,-27.86%,278.80,4.34%,-0.61%,15.85
2026-09-24,pre_close,2026-09-24T19:33:13Z,ORCL,Software - Infrastructure,accel,148.66,144.23,7.05,139.27,136.81,140.34,133.48,-3.66,invalidated,0.8212765957446838,,,42.31,3.51%,4.17%,1.63,-56.82%,139.27,-6.76%,-1.91%,7.34
2026-09-24,pre_close,2026-09-24T19:33:13Z,P,Computer Hardware,all_green,112.0,107.1,5.93,124.05,114.47,131.4,113.51,13.13,gapped_through,1.7774030354131523,,,69.95,5.67%,5.71%,2.46,4.16%,124.05,23.15%,30.69%,7.06
2026-09-24,pre_close,2026-09-24T19:33:13Z,PANW,Software - Infrastructure,accel,393.52,374.2,18.63,391.41,392.44,396.25,387.79,-0.48,failed_breakout,0.19431025228126703,,,61.78,5.14%,5.23%,0.47,-1.87%,391.41,8.31%,9.90%,17.90
2026-09-24,pre_close,2026-09-24T19:33:13Z,PBF,Oil & Gas Refining & Marketing,leaders,74.76,68.4,4.6,72.04,70.94,74.23,69.65,2.23,reclaim,0.5195652173913045,sma50,69.74465558194774,49.35,6.76%,6.19%,0.65,-12.80%,72.04,-2.88%,2.90%,4.60
2026-09-24,pre_close,2026-09-24T19:33:13Z,PI,Semiconductors,all_green,181.14,173.42,8.09,175.0,175.49,177.64,172.4,-1.24,reclaim,0.3213844252163157,prior_low,173.42,52.71,2.83%,4.91%,0.47,-29.17%,175.00,0.21%,6.90%,7.89
2026-09-24,pre_close,2026-09-24T19:33:13Z,PLXS,Electronic Components,rs_new_high,264.57,259.15,8.58,261.52,260.1,266.25,258.61,-0.9,reclaim,0.33916083916083545,prior_low,259.15,59.01,2.31%,2.70%,0.39,-14.83%,261.52,5.75%,3.44%,8.51
2026-09-24,pre_close,2026-09-24T19:33:13Z,PSX,Oil & Gas Refining & Marketing,leaders,263.82,250.26,8.8,257.43,258.67,263.45,256.13,0.37,setting_up,0.147727272727274,,,56.73,4.61%,3.30%,0.66,-7.11%,257.43,-0.08%,9.68%,8.69
2026-09-24,pre_close,2026-09-24T19:33:13Z,QCOM,Semiconductors,all_green,199.61,193.22,8.66,194.76,196.64,196.77,191.75,-1.26,reclaim,0.3475750577367195,prior_low,193.22,63.70,5.52%,4.39%,0.44,-25.07%,194.76,8.61%,14.82%,8.43
2026-09-24,pre_close,2026-09-24T19:33:13Z,QGEN,Diagnostics & Research,all_green,43.92,42.56,1.2,44.53,44.03,45.2,44.01,1.86,gapped_through,0.43333333333333596,,,57.21,2.31%,2.31%,0.45,-22.99%,44.53,2.80%,4.28%,1.22
2026-09-24,pre_close,2026-09-24T19:33:13Z,QLYS,Software - Infrastructure,accel,186.64,180.23,9.45,184.61,185.42,188.09,183.8,-0.1,failed_breakout,0.08571428571428596,,,56.74,4.32%,5.39%,0.28,-8.40%,184.61,4.41%,8.37%,9.08
2026-09-24,pre_close,2026-09-24T19:33:13Z,RAL,Electronic Components,rs_new_high,70.63,68.0,2.38,69.25,69.05,70.15,68.8,-1.06,setting_up,0.18907563025210206,,,58.76,2.98%,3.42%,0.41,-8.17%,69.25,5.73%,3.43%,2.31
2026-09-24,pre_close,2026-09-24T19:33:13Z,RDNT,Diagnostics & Research,all_green,74.35,72.68,2.66,71.66,73.11,73.7,71.02,-2.12,invalidated,0.2406015037593987,,,44.41,3.19%,3.37%,0.64,-16.52%,71.66,-3.92%,0.34%,2.66
2026-09-24,pre_close,2026-09-24T19:33:13Z,RGA,Insurance - Reinsurance,leaders,249.29,244.0,4.53,246.23,248.21,249.55,246.01,-0.21,failed_breakout,0.04856512141280328,,,50.94,1.85%,1.67%,0.36,-4.49%,246.23,-0.64%,0.93%,4.46
2026-09-24,pre_close,2026-09-24T19:33:13Z,RGTI,Computer Hardware,all_green,17.66,15.97,1.0,16.28,15.66,16.58,15.6,1.7,reclaim,0.6800000000000015,prior_low,15.97,52.31,6.06%,5.23%,0.82,-72.01%,16.28,4.46%,1.76%,1.00
2026-09-24,pre_close,2026-09-24T19:33:13Z,RMBS,Semiconductors,all_green,106.56,100.42,5.34,104.92,101.62,108.62,101.12,1.4,failed_breakout,0.7116104868913853,,,65.08,7.10%,4.28%,0.48,-39.74%,104.92,18.00%,12.65%,5.50
2026-09-24,pre_close,2026-09-24T19:33:13Z,RNR,Insurance - Reinsurance,leaders,331.41,322.41,6.53,332.26,331.6,333.67,330.17,1.05,gapped_through,0.32006125574272204,,,57.79,2.15%,1.73%,0.54,-2.35%,332.26,1.11%,2.21%,6.41
2026-09-24,pre_close,2026-09-24T19:33:13Z,S,Software - Infrastructure,accel,24.3,23.66,1.14,24.08,23.94,24.4,23.85,-0.06,failed_breakout,0.20175438596490955,,,64.51,4.89%,5.28%,0.55,-0.88%,24.08,10.59%,15.04%,1.09
2026-09-24,pre_close,2026-09-24T19:33:13Z,SAIL,Software - Infrastructure,accel,21.76,20.56,1.25,22.11,21.4,22.28,21.3,3.27,triggered,0.647999999999999,,,66.73,6.13%,6.59%,1.25,-7.87%,22.11,12.72%,21.26%,1.23
2026-09-24,pre_close,2026-09-24T19:33:13Z,SANM,Electronic Components,rs_new_high,224.65,213.5,10.75,223.15,217.08,225.85,215.78,0.57,failed_breakout,0.6855813953488377,,,62.31,4.77%,4.66%,0.45,-22.70%,223.15,10.38%,11.36%,10.71
2026-09-24,pre_close,2026-09-24T19:33:13Z,SIMO,Semiconductors,all_green,281.04,267.46,18.95,277.2,268.99,278.85,268.1,0.24,setting_up,0.4802110817941935,,,55.42,6.07%,6.52%,0.48,-21.92%,277.20,7.28%,8.38%,18.36
2026-09-24,pre_close,2026-09-24T19:33:13Z,SITM,Semiconductors,all_green,627.96,593.68,39.38,635.37,589.69,635.99,580.55,4.35,triggered,1.3920771965464716,,,54.89,4.55%,5.37%,0.59,-29.54%,635.37,7.28%,6.14%,40.52
